,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgb__subsample,param_xgb__reg_lambda,param_xgb__reg_alpha,param_xgb__n_estimators,param_xgb__min_child_weight,param_xgb__max_depth,param_xgb__learning_rate,param_xgb__colsample_bytree,param_xgb__colsample_bylevel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
956,6.270528316497803,0.020847048244889328,0.07615288098653157,0.000460324201465824,0.7,0.0625,0.00390625,2251,128,1,0.125,0.4,0.3,"{'xgb__subsample': 0.7, 'xgb__reg_lambda': 0.0625, 'xgb__reg_alpha': 0.00390625, 'xgb__n_estimators': 2251, 'xgb__min_child_weight': 128, 'xgb__max_depth': 1, 'xgb__learning_rate': 0.125, 'xgb__colsample_bytree': 0.4, 'xgb__colsample_bylevel': 0.3}",0.8652218521121362,0.8806434906335011,0.8792470469985902,0.8750374632480759,0.006964059170022304,812
957,3.023508628209432,0.012204059895364848,0.031187057495117188,0.00016075294976169733,0.3,0.00390625,4,751,64,11,0.25,0.6,0.3,"{'xgb__subsample': 0.3, 'xgb__reg_lambda': 0.00390625, 'xgb__reg_alpha': 4, 'xgb__n_estimators': 751, 'xgb__min_child_weight': 64, 'xgb__max_depth': 11, 'xgb__learning_rate': 0.25, 'xgb__colsample_bytree': 0.6, 'xgb__colsample_bylevel': 0.3}",0.8693378005117923,0.8698320222938154,0.8840167470700943,0.8743955232919006,0.0068062238201524,831
958,143.31878678003946,0.6296233183427279,0.7274502913157145,0.006400318154668031,0.5,128,0.00390625,3001,2,14,0.0078125,0.9,0.5,"{'xgb__subsample': 0.5, 'xgb__reg_lambda': 128, 'xgb__reg_alpha': 0.00390625, 'xgb__n_estimators': 3001, 'xgb__min_child_weight': 2, 'xgb__max_depth': 14, 'xgb__learning_rate': 0.0078125, 'xgb__colsample_bytree': 0.9, 'xgb__colsample_bylevel': 0.5}",0.8943881070608323,0.9101197629070428,0.9071271125530966,0.9038783275069906,0.006820909134064857,104
959,35.327996810277305,1.3280839679901155,1.1912449995676677,0.014447490858571268,0.9,0.125,0.03125,4251,1,9,0.0009765625,0.4,0.1,"{'xgb__subsample': 0.9, 'xgb__reg_lambda': 0.125, 'xgb__reg_alpha': 0.03125, 'xgb__n_estimators': 4251, 'xgb__min_child_weight': 1, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.0009765625, 'xgb__colsample_bytree': 0.4, 'xgb__colsample_bylevel': 0.1}",0.9016180285373654,0.9098589680263633,0.9110228757143464,0.9074999574260251,0.004186206386453266,28
960,3.7873595555623374,0.0029291163711251656,0.017410119374593098,0.0003754937624549791,0.4,0.03125,0.0009765625,501,16,1,0.00390625,0.8,1.0,"{'xgb__subsample': 0.4, 'xgb__reg_lambda': 0.03125, 'xgb__reg_alpha': 0.0009765625, 'xgb__n_estimators': 501, 'xgb__min_child_weight': 16, 'xgb__max_depth': 1, 'xgb__learning_rate': 0.00390625, 'xgb__colsample_bytree': 0.8, 'xgb__colsample_bylevel': 1.0}",0.8390476709383752,0.8363184978214873,0.8614555945819606,0.8456072544472745,0.011261720124504866,1152
961,3.6368065675099692,0.00882424306429813,0.0093382199605306,0.00011908084519398228,0.3,0.03125,1024,501,4,4,0.0078125,1.0,0.9,"{'xgb__subsample': 0.3, 'xgb__reg_lambda': 0.03125, 'xgb__reg_alpha': 1024, 'xgb__n_estimators': 501, 'xgb__min_child_weight': 4, 'xgb__max_depth': 4, 'xgb__learning_rate': 0.0078125, 'xgb__colsample_bytree': 1.0, 'xgb__colsample_bylevel': 0.9}",0.5,0.5,0.5,0.5,0.0,1419
962,4.1134209632873535,0.03208975473821699,0.015901962916056316,0.0002766011980623232,1.0,0.5,512,1751,1,3,0.5,0.1,0.9,"{'xgb__subsample': 1.0, 'xgb__reg_lambda': 0.5, 'xgb__reg_alpha': 512, 'xgb__n_estimators': 1751, 'xgb__min_child_weight': 1, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.5, 'xgb__colsample_bytree': 0.1, 'xgb__colsample_bylevel': 0.9}",0.8315365499357721,0.8333516104775034,0.8284640143081764,0.8311173915738173,0.0020172455441190822,1223
963,33.47717944780985,0.06155282795919586,0.5857632954915365,0.001985538230369491,0.9,4,2,4251,16,6,0.0078125,0.2,0.6,"{'xgb__subsample': 0.9, 'xgb__reg_lambda': 4, 'xgb__reg_alpha': 2, 'xgb__n_estimators': 4251, 'xgb__min_child_weight': 16, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.0078125, 'xgb__colsample_bytree': 0.2, 'xgb__colsample_bylevel': 0.6}",0.8998412538636077,0.908753124009348,0.9078975812456465,0.9054973197062007,0.004014664698904199,66
964,5.2743026415507,0.02769267279477481,0.04026095072428385,7.594578830472927e-05,0.7,4,2,1001,128,2,0.03125,0.6,0.4,"{'xgb__subsample': 0.7, 'xgb__reg_lambda': 4, 'xgb__reg_alpha': 2, 'xgb__n_estimators': 1001, 'xgb__min_child_weight': 128, 'xgb__max_depth': 2, 'xgb__learning_rate': 0.03125, 'xgb__colsample_bytree': 0.6, 'xgb__colsample_bylevel': 0.4}",0.8756784111718863,0.8845139446930546,0.8893869323336333,0.8831930960661913,0.00567387985607916,642
965,12.014193693796793,0.0498367652767333,0.18120813369750977,0.0021261439375429847,0.6,2,8,4501,64,5,0.25,0.1,0.3,"{'xgb__subsample': 0.6, 'xgb__reg_lambda': 2, 'xgb__reg_alpha': 8, 'xgb__n_estimators': 4501, 'xgb__min_child_weight': 64, 'xgb__max_depth': 5, 'xgb__learning_rate': 0.25, 'xgb__colsample_bytree': 0.1, 'xgb__colsample_bylevel': 0.3}",0.8732025624710835,0.8891999587151567,0.8852186412775367,0.8825403874879255,0.0067999487335639,662
966,7.8925401369730634,0.02193038015298389,0.12145884831746419,0.00028017644690873906,0.5,16,0.5,3501,64,2,0.0625,0.0,0.4,"{'xgb__subsample': 0.5, 'xgb__reg_lambda': 16, 'xgb__reg_alpha': 0.5, 'xgb__n_estimators': 3501, 'xgb__min_child_weight': 64, 'xgb__max_depth': 2, 'xgb__learning_rate': 0.0625, 'xgb__colsample_bytree': 0.0, 'xgb__colsample_bylevel': 0.4}",0.8773803840012707,0.8867735526344891,0.887466303542493,0.8838734133927509,0.004599967316123349,620
967,8.695186694463095,0.021866220203253676,0.02401884396870931,4.979937057765078e-05,0.1,8,256,3751,128,6,0.5,0.2,0.8,"{'xgb__subsample': 0.1, 'xgb__reg_lambda': 8, 'xgb__reg_alpha': 256, 'xgb__n_estimators': 3751, 'xgb__min_child_weight': 128, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.5, 'xgb__colsample_bytree': 0.2, 'xgb__colsample_bylevel': 0.8}",0.5,0.5,0.5,0.5,0.0,1419
968,2.4852565924326577,0.0038603637785410566,0.015136003494262695,0.00020987146685292612,0.3,0.0078125,0.0009765625,751,128,11,0.015625,0.7,0.3,"{'xgb__subsample': 0.3, 'xgb__reg_lambda': 0.0078125, 'xgb__reg_alpha': 0.0009765625, 'xgb__n_estimators': 751, 'xgb__min_child_weight': 128, 'xgb__max_depth': 11, 'xgb__learning_rate': 0.015625, 'xgb__colsample_bytree': 0.7, 'xgb__colsample_bylevel': 0.3}",0.8391501771695535,0.824247288839085,0.8162764744682934,0.8265579801589773,0.00948001545702951,1250
969,7.221413691838582,0.10656558696658325,0.06900540987650554,0.0031937508606181,0.1,0.001953125,0.25,2751,1,4,0.5,0.6,0.2,"{'xgb__subsample': 0.1, 'xgb__reg_lambda': 0.001953125, 'xgb__reg_alpha': 0.25, 'xgb__n_estimators': 2751, 'xgb__min_child_weight': 1, 'xgb__max_depth': 4, 'xgb__learning_rate': 0.5, 'xgb__colsample_bytree': 0.6, 'xgb__colsample_bylevel': 0.2}",0.767960061355982,0.770792171361589,0.7857607408324389,0.7748376578500032,0.007809844990004382,1329
