,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgb__subsample,param_xgb__reg_lambda,param_xgb__reg_alpha,param_xgb__n_estimators,param_xgb__min_child_weight,param_xgb__max_depth,param_xgb__learning_rate,param_xgb__colsample_bylevel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
334,0.38200147946675617,0.005065114687342801,0.00433039665222168,0.00047493870629808355,0.9,256,1024,501,128,9,0.0078125,0.5,"{'xgb__subsample': 0.9, 'xgb__reg_lambda': 256, 'xgb__reg_alpha': 1024, 'xgb__n_estimators': 501, 'xgb__min_child_weight': 128, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.0078125, 'xgb__colsample_bylevel': 0.5}",0.5,0.5,0.5,0.5,0.0,594
335,0.32550207773844403,0.027659526576492535,0.003999233245849609,2.6973983046972182e-06,0.9,64,512,251,16,10,0.0078125,1.0,"{'xgb__subsample': 0.9, 'xgb__reg_lambda': 64, 'xgb__reg_alpha': 512, 'xgb__n_estimators': 251, 'xgb__min_child_weight': 16, 'xgb__max_depth': 10, 'xgb__learning_rate': 0.0078125, 'xgb__colsample_bylevel': 1.0}",0.5,0.5,0.5,0.5,0.0,594
336,1.871987263361613,0.04572637197800659,0.004665295282999675,0.00046879116732823707,0.7,0.5,0.03125,1751,64,6,0.125,0.9,"{'xgb__subsample': 0.7, 'xgb__reg_lambda': 0.5, 'xgb__reg_alpha': 0.03125, 'xgb__n_estimators': 1751, 'xgb__min_child_weight': 64, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.125, 'xgb__colsample_bylevel': 0.9}",0.6056985294117647,0.6553308823529411,0.6926980760490835,0.6512424959379298,0.035634874831486724,584
337,5.037348667780559,0.1364248672702986,0.009997844696044922,9.73339773330362e-07,0.6,2,0.015625,3751,32,13,0.0009765625,0.7,"{'xgb__subsample': 0.6, 'xgb__reg_lambda': 2, 'xgb__reg_alpha': 0.015625, 'xgb__n_estimators': 3751, 'xgb__min_child_weight': 32, 'xgb__max_depth': 13, 'xgb__learning_rate': 0.0009765625, 'xgb__colsample_bylevel': 0.7}",0.8377757352941178,0.8606004901960784,0.9029944957834671,0.8671235737578877,0.027022023663517383,443
338,4.571322758992513,0.05381290790215213,0.0063317616780598955,0.0004672680706283246,0.7,1,1024,4501,8,5,0.001953125,0.6,"{'xgb__subsample': 0.7, 'xgb__reg_lambda': 1, 'xgb__reg_alpha': 1024, 'xgb__n_estimators': 4501, 'xgb__min_child_weight': 8, 'xgb__max_depth': 5, 'xgb__learning_rate': 0.001953125, 'xgb__colsample_bylevel': 0.6}",0.5,0.5,0.5,0.5,0.0,594
339,0.7833449840545654,0.004513467888026137,0.005002737045288086,1.520405329840103e-06,0.2,0.25,8,751,1,8,0.125,0.6,"{'xgb__subsample': 0.2, 'xgb__reg_lambda': 0.25, 'xgb__reg_alpha': 8, 'xgb__n_estimators': 751, 'xgb__min_child_weight': 1, 'xgb__max_depth': 8, 'xgb__learning_rate': 0.125, 'xgb__colsample_bylevel': 0.6}",0.8806168300653595,0.8987949346405228,0.9333434328132102,0.904251732506364,0.021868640279997624,74
340,1.4529850482940674,0.060999348286439346,0.005344867706298828,0.00046416421534754056,0.1,4,64,2251,2,9,0.001953125,0.2,"{'xgb__subsample': 0.1, 'xgb__reg_lambda': 4, 'xgb__reg_alpha': 64, 'xgb__n_estimators': 2251, 'xgb__min_child_weight': 2, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.001953125, 'xgb__colsample_bylevel': 0.2}",0.5,0.5,0.5,0.5,0.0,594
341,3.8703205585479736,0.04336459163753944,0.00766754150390625,0.00047154015667130814,0.4,256,0.015625,1751,8,4,0.00390625,1.0,"{'xgb__subsample': 0.4, 'xgb__reg_lambda': 256, 'xgb__reg_alpha': 0.015625, 'xgb__n_estimators': 1751, 'xgb__min_child_weight': 8, 'xgb__max_depth': 4, 'xgb__learning_rate': 0.00390625, 'xgb__colsample_bylevel': 1.0}",0.8715277777777777,0.8688214869281046,0.906024339746503,0.8821245348174617,0.016935790686697094,346
342,0.269664208094279,0.0004703062696102081,0.004001140594482422,5.840038639982171e-07,0.6,512,0.125,251,64,3,0.03125,0.8,"{'xgb__subsample': 0.6, 'xgb__reg_lambda': 512, 'xgb__reg_alpha': 0.125, 'xgb__n_estimators': 251, 'xgb__min_child_weight': 64, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.03125, 'xgb__colsample_bylevel': 0.8}",0.5,0.5,0.5,0.5,0.0,594
343,3.1922014554341636,0.05773690916161104,0.006333986918131511,0.00047227048953177124,0.6,16,512,4751,16,15,0.015625,0.2,"{'xgb__subsample': 0.6, 'xgb__reg_lambda': 16, 'xgb__reg_alpha': 512, 'xgb__n_estimators': 4751, 'xgb__min_child_weight': 16, 'xgb__max_depth': 15, 'xgb__learning_rate': 0.015625, 'xgb__colsample_bylevel': 0.2}",0.5,0.5,0.5,0.5,0.0,594
344,0.8868507544199625,0.021038215137187448,0.008000373840332031,1.7302466278932287e-06,0.7,0.5,0.5,501,4,4,0.0078125,0.3,"{'xgb__subsample': 0.7, 'xgb__reg_lambda': 0.5, 'xgb__reg_alpha': 0.5, 'xgb__n_estimators': 501, 'xgb__min_child_weight': 4, 'xgb__max_depth': 4, 'xgb__learning_rate': 0.0078125, 'xgb__colsample_bylevel': 0.3}",0.8832209967320261,0.9056372549019608,0.9320809978286118,0.9069797498208662,0.01996958764797197,40
345,2.4920105934143066,0.014292697811720495,0.00599360466003418,0.0008184065855372911,0.2,64,4,4001,64,6,0.5,0.3,"{'xgb__subsample': 0.2, 'xgb__reg_lambda': 64, 'xgb__reg_alpha': 4, 'xgb__n_estimators': 4001, 'xgb__min_child_weight': 64, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.5, 'xgb__colsample_bylevel': 0.3}",0.5,0.5,0.5,0.5,0.0,594
346,1.549679199854533,0.06126844678883921,0.005351463953653972,0.0004970519192093314,1.0,0.5,128,2251,32,13,0.125,0.3,"{'xgb__subsample': 1.0, 'xgb__reg_lambda': 0.5, 'xgb__reg_alpha': 128, 'xgb__n_estimators': 2251, 'xgb__min_child_weight': 32, 'xgb__max_depth': 13, 'xgb__learning_rate': 0.125, 'xgb__colsample_bylevel': 0.3}",0.8313674428104575,0.8458946078431372,0.8825430490329749,0.8532683665621899,0.021533151283476736,482
347,0.5433189074198405,0.005567824574933094,0.005334615707397461,0.00047103333986194185,0.6,0.125,16,1001,128,12,0.0078125,0.0,"{'xgb__subsample': 0.6, 'xgb__reg_lambda': 0.125, 'xgb__reg_alpha': 16, 'xgb__n_estimators': 1001, 'xgb__min_child_weight': 128, 'xgb__max_depth': 12, 'xgb__learning_rate': 0.0078125, 'xgb__colsample_bylevel': 0.0}",0.5,0.5,0.5,0.5,0.0,594
348,2.275334119796753,0.0508561286521062,0.005331754684448242,0.0004737363367967711,0.3,16,256,2501,1,11,0.125,0.6,"{'xgb__subsample': 0.3, 'xgb__reg_lambda': 16, 'xgb__reg_alpha': 256, 'xgb__n_estimators': 2501, 'xgb__min_child_weight': 1, 'xgb__max_depth': 11, 'xgb__learning_rate': 0.125, 'xgb__colsample_bylevel': 0.6}",0.5,0.5,0.5,0.5,0.0,594
349,3.495330015818278,0.0645301763693847,0.02900234858194987,0.0008166343049835661,0.2,64,0.125,4501,1,7,0.25,0.1,"{'xgb__subsample': 0.2, 'xgb__reg_lambda': 64, 'xgb__reg_alpha': 0.125, 'xgb__n_estimators': 4501, 'xgb__min_child_weight': 1, 'xgb__max_depth': 7, 'xgb__learning_rate': 0.25, 'xgb__colsample_bylevel': 0.1}",0.8981311274509804,0.9109477124183006,0.9316770186335404,0.9135852861676073,0.01382146399072377,3
350,1.3040022055308025,0.03677774296915031,0.005330244700113933,0.00047429397342671356,0.8,2,2,2501,64,14,0.00390625,0.0,"{'xgb__subsample': 0.8, 'xgb__reg_lambda': 2, 'xgb__reg_alpha': 2, 'xgb__n_estimators': 2501, 'xgb__min_child_weight': 64, 'xgb__max_depth': 14, 'xgb__learning_rate': 0.00390625, 'xgb__colsample_bylevel': 0.0}",0.7329963235294118,0.7472681781045752,0.7881634095844063,0.7561426370727977,0.023379747110605403,570
351,1.2490224838256836,0.05707852501520807,0.005330801010131836,0.00047390645146221945,0.3,4,0.001953125,1501,16,13,0.125,0.5,"{'xgb__subsample': 0.3, 'xgb__reg_lambda': 4, 'xgb__reg_alpha': 0.001953125, 'xgb__n_estimators': 1501, 'xgb__min_child_weight': 16, 'xgb__max_depth': 13, 'xgb__learning_rate': 0.125, 'xgb__colsample_bylevel': 0.5}",0.8339971405228758,0.868719362745098,0.9130434782608696,0.8719199938429477,0.032349795537897304,424
352,0.3060135046641032,0.026616085739405722,0.004001140594482422,1.9756639631042564e-06,0.4,0.0078125,0.5,251,32,12,0.015625,0.8,"{'xgb__subsample': 0.4, 'xgb__reg_lambda': 0.0078125, 'xgb__reg_alpha': 0.5, 'xgb__n_estimators': 251, 'xgb__min_child_weight': 32, 'xgb__max_depth': 12, 'xgb__learning_rate': 0.015625, 'xgb__colsample_bylevel': 0.8}",0.8081341911764707,0.8412479575163399,0.8644902287532191,0.8379574591486766,0.023124608500738875,516
353,0.013652404149373373,0.0031020364006451324,0.004999717076619466,0.0008170223411162803,0.6,1024,0.25,1,128,1,0.25,0.4,"{'xgb__subsample': 0.6, 'xgb__reg_lambda': 1024, 'xgb__reg_alpha': 0.25, 'xgb__n_estimators': 1, 'xgb__min_child_weight': 128, 'xgb__max_depth': 1, 'xgb__learning_rate': 0.25, 'xgb__colsample_bylevel': 0.4}",0.5,0.5,0.5,0.5,0.0,594
354,0.38467995325724286,0.012303035055400221,0.005667686462402344,0.00047137071552122374,0.8,0.015625,2,501,32,5,0.0009765625,0.1,"{'xgb__subsample': 0.8, 'xgb__reg_lambda': 0.015625, 'xgb__reg_alpha': 2, 'xgb__n_estimators': 501, 'xgb__min_child_weight': 32, 'xgb__max_depth': 5, 'xgb__learning_rate': 0.0009765625, 'xgb__colsample_bylevel': 0.1}",0.8426776960784313,0.8610600490196079,0.8916325809220825,0.8651234420067072,0.02019122844932907,453
355,2.3083207607269287,0.09308104112041143,0.006001631418863933,3.407152670260432e-06,0.1,32,0.25,4251,128,9,0.5,0.1,"{'xgb__subsample': 0.1, 'xgb__reg_lambda': 32, 'xgb__reg_alpha': 0.25, 'xgb__n_estimators': 4251, 'xgb__min_child_weight': 128, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.5, 'xgb__colsample_bylevel': 0.1}",0.5,0.5,0.5,0.5,0.0,594
